order_id,customer_id,product_id,quantity,price,order_date
1,2148,608,4,464,21/11/2024
2,960,654,14,213,31/05/2024
3,4628,199,6,246,2024-12-26
4,6332,97,9,167,15/07/2024
5,3148,529,1,235,28/10/2023
6,7549,632,15,463,06/03/2024
7,8778,667,16,165,10/11/2024
8,3528,201,5,249,2023-06-30
9,6031,884,5,477,06/08/2023
10,275,420,17,141,09/05/2024
11,6340,418,15,100,29/01/2024
12,4312,33,12,165,13/05/2023
13,8423,881,14,186,23/04/2023
14,4676,177,17,339,2024-12-22
15,5537,631,15,419,31/03/2023
16,9691,875,18,336,05/07/2023
17,8903,803,3,242,20/05/2023
18,7900,944,20,385,16/03/2023
19,731,789,19,66,2023-02-26
20,1596,249,16,273,01/07/2024
21,7646,688,2,110,06/10/2024
22,3682,428,,285,04/03/2023
23,7067,308,19,228,2024-03-07
24,2023,974,20,385,2024-07-12
25,7313,436,8,72,01/01/2023
26,7011,494,16,254,03/02/2023
27,3990,466,18,403,20/05/2023
28,6188,55,3,334,03/02/2024
29,6198,547,,330,22/06/2024
30,2844,958,11,275,2024-09-13
31,5139,516,20,66,2024-06-06
32,1013,483,10,409,04/02/2024
33,1470,704,12,405,03/01/2024
34,7729,516,16,65,2023-02-13
35,8347,473,8,477,18/11/2024
36,4599,914,10,437,21/04/2024
37,8849,739,13,444,2024-11-13
38,9714,131,9,383,21/07/2024
39,2167,434,17,424,2023-11-28
40,8899,929,4,304,13/09/2023
41,7543,309,9,142,11/02/2023
42,5809,853,5,305,2023-06-16
43,6497,463,14,340,09/09/2024
44,9439,250,1,59,2023-10-15
45,4745,222,10,357,2024-09-05
46,8986,957,10,453,2024-07-21
47,5709,479,9,242,18/09/2024
48,3294,921,18,311,20/07/2024
49,1623,738,12,124,10/05/2023
50,6340,735,5,212,2024-02-22
51,3195,704,10,418,2024-09-17
52,4361,419,20,392,04/09/2024
53,8845,804,3,467,13/01/2024
54,3597,578,2,308,2023-08-22
55,1266,437,10,235,2024-06-06
56,3766,536,8,160,2024-05-06
57,1361,570,6,195,01/06/2023
58,369,863,5,272,2023-08-02
59,9510,71,1,170,05/02/2024
60,8292,363,19,93,31/05/2024
61,3506,653,13,340,12/04/2023
62,4803,849,5,303,2024-03-02
63,2370,463,8,299,27/01/2024
64,8060,686,14,305,2024-05-23
65,6123,15,19,-3,22/06/2023
66,3153,412,20,378,2023-01-05
67,2318,679,6,249,02/09/2024
68,5410,856,3,no aplica,2024-01-06
69,6637,973,4,405,14/10/2023
70,4255,620,18,235,09/03/2023
71,6693,450,12,285,17/03/2024
72,4902,689,10,274,2023-04-26
73,9280,584,7,280,2023-08-25
74,5101,469,10,336,01/05/2024
75,1751,112,2,361,2023-08-26
76,3989,762,1,366,14/12/2023
77,7668,634,17,300,13/08/2023
78,4996,992,8,310,2024-05-11
79,3876,582,2,492,24/11/2023
80,4431,757,19,305,2024-09-19
81,8088,718,9,186,2023-02-26
82,6470,829,17,241,2023-11-19
83,474,609,12,185,2024-06-04
84,8111,230,13,264,17/02/2024
85,9163,286,13,438,25/04/2024
86,3660,546,,72,19/01/2024
87,1414,746,9,-29,2024-12-16
88,5414,111,8,342,01/07/2024
89,5740,40,13,93,05/07/2024
90,122,781,,295,20/04/2024
91,457,398,11,341,25/08/2024
92,2552,85,14,454,2024-12-09
93,3246,647,,431,2024-05-19
94,8108,12,8,295,2024-02-09
95,9222,49,13,124,17/02/2023
96,1188,809,4,157,28/03/2024
97,3792,801,1,300,06/09/2024
98,8071,426,11,353,2023-04-05
99,6861,373,12,469,2024-01-23
100,749,556,13,108,20/12/2024
101,4207,723,11,149,03/07/2024
102,8492,555,,114,2023-06-19
103,3677,621,19,85,2024-11-20
104,7815,787,3,159,2024-09-21
105,5337,623,6,373,2024-07-31
106,7199,879,2,405,16/06/2024
107,9509,216,12,176,14/03/2024
108,8788,707,12,335,16/08/2024
109,6292,191,18,286,2024-03-19
110,6403,320,13,317,13/04/2024
111,2382,289,6,361,21/11/2023
112,8118,46,1,240,04/06/2024
113,4363,175,13,247,16/06/2023
114,6031,742,18,54,23/02/2024
115,7515,327,16,283,2024-11-14
116,773,54,16,178,2023-11-10
117,913,914,14,316,19/12/2023
118,9686,56,5,451,22/03/2024
119,1214,513,19,62,2024-08-16
120,667,215,12,340,2023-03-04
121,1882,652,,201,25/05/2023
122,8793,994,8,61,2023-07-16
123,9211,303,3,287,26/12/2023
124,1691,549,16,341,2024-12-09
125,9787,311,11,152,2024-04-12
126,5644,705,9,271,10/05/2023
127,835,468,17,126,2023-03-08
128,3499,953,19,183,11/04/2023
129,38,799,9,155,2024-11-24
130,328,153,4,229,20/02/2023
131,7059,728,12,380,2023-05-11
132,395,103,14,69,2024-08-14
133,2752,717,7,146,18/07/2023
134,4247,789,2,435,2023-12-17
135,5044,118,20,276,06/12/2023
136,5174,514,16,72,2023-07-22
137,3253,294,9,328,2023-09-07
138,4722,423,16,242,2024-06-05
139,6651,141,4,62,2023-09-11
140,2415,518,12,268,30/09/2024
141,5999,552,2,380,05/05/2023
142,7112,854,15,457,2023-07-20
143,4002,667,10,330,05/06/2023
144,2756,554,13,139,18/09/2023
145,4990,422,11,294,16/08/2024
146,5956,479,11,355,2024-06-21
147,4963,203,11,318,2024-12-19
148,2204,532,13,56,2024-04-08
149,2207,737,3,292,2024-05-20
150,6554,293,16,309,2024-01-02
151,5310,873,5,218,07/02/2024
152,7656,81,1,316,14/06/2023
153,1881,558,15,72,07/05/2023
154,6538,994,19,383,2023-02-12
155,3901,434,7,360,2024-08-06
156,4,988,6,161,2023-07-21
157,2090,844,16,288,12/02/2024
158,2844,701,5,445,08/07/2024
159,6262,775,3,206,11/11/2024
160,6919,372,19,414,15/06/2024
161,8126,125,7,325,16/08/2023
162,8610,788,,386,2024-04-23
163,3631,9,7,469,17/12/2024
164,7317,510,2,400,2023-08-07
165,759,496,7,196,08/07/2024
166,3394,912,14,218,09/11/2023
167,5105,893,19,175,2024-04-25
168,3637,101,6,475,19/11/2024
169,5667,783,16,332,23/12/2024
170,2759,6,17,420,2023-09-25
171,5370,551,18,70,08/04/2024
172,1944,182,17,174,2023-04-25
173,5965,978,3,85,16/07/2023
174,9095,853,13,64,05/06/2023
175,2559,555,20,271,2024-02-21
176,5482,967,7,434,2023-01-13
177,2068,539,8,465,2024-06-23
178,4652,461,2,181,2024-03-19
179,1644,296,5,226,14/01/2024
180,981,63,16,499,18/10/2024
181,2396,519,3,66,2024-01-18
182,7636,397,10,277,05/04/2023
183,859,71,8,-41,03/05/2023
184,1944,369,8,66,2024-08-05
185,7224,180,5,258,07/02/2024
186,7981,387,8,201,03/06/2024
187,8793,548,20,91,2023-07-03
188,627,152,6,131,01/02/2023
189,5855,945,18,374,2023-03-19
190,1097,534,14,382,2024-07-12
191,3253,395,12,299,2023-06-09
192,9239,96,19,427,2023-11-05
193,9433,793,19,178,2024-04-21
194,3513,171,20,431,2024-03-31
195,3090,644,16,62,2023-06-06
196,6936,283,18,211,26/09/2023
197,9264,696,15,289,12/04/2024
198,7667,821,16,136,2023-07-27
199,4130,151,15,471,2024-04-12
200,8940,841,3,368,2023-05-06
201,4689,251,8,396,2024-09-05
202,9678,275,5,136,18/07/2024
203,3050,336,9,409,2024-04-11
204,3035,238,2,238,20/09/2024
205,8202,220,8,113,2023-07-09
206,6850,421,2,464,2024-04-26
207,5075,475,4,194,02/11/2023
208,1550,655,5,146,21/06/2024
209,1803,99,17,84,10/11/2023
210,5834,103,6,346,2024-09-04
211,869,697,4,116,20/02/2023
212,4882,853,7,77,18/11/2024
213,8087,350,3,273,21/07/2023
214,7540,428,4,435,2024-11-27
215,7707,121,5,498,2023-12-12
216,8179,800,,161,2023-03-12
217,9027,42,3,52,16/01/2024
218,4685,741,2,400,22/05/2024
219,9433,267,2,202,19/09/2024
220,6439,555,18,219,23/05/2023
221,1051,282,3,338,07/09/2023
222,9629,231,14,239,2024-03-24
223,7551,620,6,385,15/08/2023
224,7207,963,9,434,23/04/2024
225,3859,352,10,398,09/09/2024
226,348,277,15,273,2024-09-12
227,5197,552,2,371,26/01/2023
228,5167,910,19,-63,2024-09-22
229,2126,670,4,420,05/06/2024
230,6834,274,7,478,2023-04-11
231,1091,954,2,361,09/06/2024
232,1001,83,15,499,27/02/2023
233,7639,952,5,298,2024-02-24
234,2366,911,4,380,23/06/2023
235,8072,902,7,no aplica,19/01/2023
236,5598,756,13,195,2023-05-16
237,3357,60,3,409,2024-12-30
238,2641,346,5,72,24/03/2023
239,8766,551,19,493,29/01/2023
240,4533,757,20,167,2024-05-05
241,9694,52,20,189,24/11/2023
242,2911,970,12,224,2024-05-17
243,4881,942,6,212,2024-02-07
244,6035,831,11,486,2023-10-13
245,9648,66,18,143,20/04/2023
246,8674,957,20,493,2023-08-27
247,7901,34,11,315,10/07/2023
248,4286,828,15,77,2024-03-23
249,8813,743,6,118,2024-09-30
250,7304,66,10,53,2023-09-13
251,1273,708,7,413,2023-10-26
252,7163,17,12,207,2024-07-19
253,2718,475,2,420,13/07/2024
254,5299,611,9,71,11/12/2023
255,9392,622,17,94,2024-02-13
256,9606,925,18,267,06/06/2023
257,671,812,8,213,01/04/2024
258,9203,789,9,191,2023-07-19
259,7585,574,8,294,18/10/2023
260,7305,426,16,128,15/05/2023
261,5646,901,2,83,2024-09-25
262,3550,222,9,57,2024-10-31
263,9609,841,3,134,11/03/2024
264,5216,242,8,422,2023-08-29
265,6794,784,5,377,2023-03-14
266,4506,142,14,311,2024-10-08
267,776,944,17,318,16/06/2024
268,4749,58,8,446,2024-05-16
269,3397,947,8,295,31/08/2023
270,2607,678,13,107,2024-10-14
271,8051,879,16,313,24/01/2023
272,7696,794,1,452,2024-08-24
